harper-1535-stale-context-user	caught
harper-1770-whitespace-retry-after	caught
harper-1823-chain-abort-leak	caught
harper-1858-mtls-required-mirror	missed
harper-1861-commit-stub-restore	partial
harper-1906-unawaited-puts-test-race	missed
harper-1913-falsey-role-flag-bypass	partial
harper-1956-create-via-update-authz	caught
harper-1957-stale-drop-retry-budget	caught
harper-1961-nested-query-authz-gap	caught
harper-1963-cleanup-wedge-unhandled-rejection	partial
harper-pro-594-sync-keygen	partial
harper-pro-602-send-auth-close-race	caught
oauth-170-http-issuer	missed
oauth-170-jti-replay	missed
oauth-183-mcp-session-binding	caught
oauth-184-null-dcr-typeerror	caught
oauth-192-placeholder-truthy-gate	caught
